x,y,level1,size1,level2,size2
-32.5,58,10,1.72,10,1.72
-7.5,58,10,1.72,10,1.72
7.5,58,10,1.72,10,1.72
32.5,58,10,1.72,10,1.72
-55,42.5,10,1.72,10,1.72
-28,42.5,10,1.72,10,1.72
-7.5,42.5,10,1.72,10,1.72
7.5,42.5,10,1.72,10,1.72
28,42.5,10,1.72,10,1.72
55,42.5,10,1.72,10,1.72
-69.5,30.5,10,1.72,10,1.72
-49,30.5,10,1.72,10,1.72
-32,30.5,10,1.72,10,1.72
-16.5,30.5,10,1.72,10,1.72
-5,30.5,10,1.72,10,1.72
5,30.5,10,1.72,10,1.72
16.5,30.5,10,1.72,10,1.72
32,30.5,10,1.72,10,1.72
49,30.5,10,1.72,10,1.72
69.5,30.5,10,1.72,10,1.72
-74,21.5,10,1.72,10,1.72
-57,21.5,10,1.72,10,1.72
-42,21.5,10,1.72,10,1.72
-30,21.5,10,1.72,10,1.72
-20,21.5,10,1.72,10,1.72
-12,21.5,10,1.72,10,1.72
-7,21.5,10,1.72,10,1.72
-2,21.5,10,1.72,10,1.72
2,21.5,10,1.72,10,1.72
7,21.5,10,1.72,10,1.72
12,21.5,10,1.72,10,1.72
20,21.5,10,1.72,10,1.72
30,21.5,10,1.72,10,1.72
42,21.5,10,1.72,10,1.72
57,21.5,10,1.72,10,1.72
74,21.5,10,1.72,10,1.72
-77,13.5,10,1.72,10,1.72
-57,13.5,10,1.72,10,1.72
-42,13.5,10,1.72,10,1.72
-30,13.5,10,1.72,10,1.72
-20,13.5,10,1.72,10,1.72
-12,13.5,10,1.72,10,1.72
-7,13.5,10,1.72,10,1.72
-2,13.5,10,1.72,10,1.72
2,13.5,10,1.72,10,1.72
7,13.5,10,1.72,10,1.72
12,13.5,10,1.72,10,1.72
20,13.5,10,1.72,10,1.72
30,13.5,10,1.72,10,1.72
42,13.5,10,1.72,10,1.72
57,13.5,10,1.72,10,1.72
77,13.5,10,1.72,10,1.72
-68,7.5,10,1.72,10,1.72
-57,7.5,10,1.72,10,1.72
-42,7.5,10,1.72,10,1.72
-30,7.5,10,1.72,10,1.72
-20,7.5,10,1.72,10,1.72
-9,7.5,10,1.72,10,1.72
-2.5,7.5,10,1.72,10,1.72
2.5,7.5,10,1.72,10,1.72
9,7.5,10,1.72,10,1.72
20,7.5,10,1.72,10,1.72
30,7.5,10,1.72,10,1.72
42,7.5,10,1.72,10,1.72
57,7.5,10,1.72,10,1.72
68,7.5,10,1.72,10,1.72
-78,3,10,1.72,10,1.72
-57,3,10,1.72,10,1.72
-42,3,10,1.72,10,1.72
-30,3,10,1.72,10,1.72
-20,3,10,1.72,10,1.72
-12,3,10,1.72,10,1.72
-7,2.5,10,1.72,10,1.72
7,2.5,10,1.72,10,1.72
12,3,10,1.72,10,1.72
20,3,10,1.72,10,1.72
30,3,10,1.72,10,1.72
42,3,10,1.72,10,1.72
57,3,10,1.72,10,1.72
78,3,10,1.72,10,1.72
-78,-3,10,1.72,10,1.72
-57,-3,10,1.72,10,1.72
-42,-3,10,1.72,10,1.72
-30,-3,10,1.72,10,1.72
-20,-3,10,1.72,10,1.72
-12,-3,10,1.72,10,1.72
-7,-2.5,10,1.72,10,1.72
7,-2.5,10,1.72,10,1.72
12,-3,10,1.72,10,1.72
20,-3,10,1.72,10,1.72
30,-3,10,1.72,10,1.72
42,-3,10,1.72,10,1.72
57,-3,10,1.72,10,1.72
78,-3,10,1.72,10,1.72
